Skip?,Level 1 Topic *,Level 2 Topic *,Level 3 Topic,Level 4 Topic,Title *,-,Website Category Level 1 *,Website Category Level 2,Website Course Title *,Course URL *,Category ID *,Combined Category Trans,Course Trans
,التعلم المستمر,العلوم اللغوية,اللغة العربية,,علم النحو للمبتدئين (شرح متن الأجرومية),,العلوم اللغوية,اللغة العربية,1194- علم النحو للمبتدئين (شرح متن الأجرومية),https://www.aldarayn.com/course/view.php?id=523,17,Linguistic / Arabic Language Science,1194- Grammar for beginners (explanation board ajārūmīya)
,التعلم المستمر,العلوم اللغوية,اللغة العربية,,إعداد مدربي العربية لغير العرب,,العلوم اللغوية,اللغة العربية,1296- إعداد مدربي العربية لغير العرب,https://www.aldarayn.com/course/view.php?id=134,17,Linguistic / Arabic Language Science,1296- prepare Arab trainers for non-Arab
,التعلم المستمر,العلوم اللغوية,اللغة الإنجليزية,,الترجمة من البداية للإحتراف,,العلوم اللغوية,اللغة الإنجليزية,1030- الترجمة من البداية للإحتراف,https://www.aldarayn.com/course/view.php?id=41,18,Language / English Language Science,1030. translation from the start of professionalism
,التعلم المستمر,العلوم اللغوية,اللغة الإنجليزية,,TOEFL,,العلوم اللغوية,اللغة الإنجليزية,1029- TOEFL,https://www.aldarayn.com/course/view.php?id=40,18,Language / English Language Science,1029- TOEFL
,التعلم المستمر,العلوم اللغوية,اللغة الإنجليزية,,IELTS  Exam,,العلوم اللغوية,اللغة الإنجليزية,1028- IELTS  Exam,https://www.aldarayn.com/course/view.php?id=39,18,Language / English Language Science,1028- IELTS Exam
,التعلم المستمر,العلوم اللغوية,اللغة الإنجليزية,,IELTS Preparation Course,,العلوم اللغوية,اللغة الإنجليزية,1027- IELTS Preparation Course,https://www.aldarayn.com/course/view.php?id=38,18,Language / English Language Science,1027- IELTS Preparation Course
,التعلم المستمر,العلوم اللغوية,اللغة الإنجليزية,,Communication Skills,,العلوم اللغوية,اللغة الإنجليزية,1026- Communication Skills,https://www.aldarayn.com/course/view.php?id=37,18,Language / English Language Science,1026- Communication Skills
,التعلم المستمر,العلوم اللغوية,اللغة الإنجليزية,,English Mix -Elementary,,العلوم اللغوية,اللغة الإنجليزية,1025- English Mix -Elementary,https://www.aldarayn.com/course/view.php?id=36,18,Language / English Language Science,1025- English Mix -Elementary
,التعلم المستمر,العلوم اللغوية,اللغة الإنجليزية,,English Conversation,,العلوم اللغوية,اللغة الإنجليزية,1024- English conversation,https://www.aldarayn.com/course/view.php?id=35,18,Language / English Language Science,1024- English conversation
,التعلم المستمر,العلوم اللغوية,اللغة الإنجليزية,,English Beginner,,العلوم اللغوية,اللغة الإنجليزية,1023- English Beginner,https://www.aldarayn.com/course/view.php?id=34,18,Language / English Language Science,1023- English Beginner
,التعلم المستمر,العلوم اللغوية,اللغة الإنجليزية,,English Grammar,,العلوم اللغوية,اللغة الإنجليزية,1022- English Grammar,https://www.aldarayn.com/course/view.php?id=33,18,Language / English Language Science,1022- English Grammar
,التعلم المستمر,العلوم اللغوية,اللغة الإنجليزية,,Business English,,العلوم اللغوية,اللغة الإنجليزية,1021- Business English,https://www.aldarayn.com/course/view.php?id=32,18,Language / English Language Science,1021- Business English
,التعلم المستمر,العلوم اللغوية,اللغة الإنجليزية,,اللغة الإنجليزية,,العلوم اللغوية,اللغة الإنجليزية,1020- اللغة الإنجليزية,https://www.aldarayn.com/course/view.php?id=31,18,Language / English Language Science,1020. English
,التعلم المستمر,العلوم اللغوية,اللغة الفرنسية,,المحادثة باللغة الفرنسية للمبتدئين,,العلوم اللغوية,اللغة الفرنسية,1405- المحادثة باللغة الفرنسية للمبتدئين,https://www.aldarayn.com/course/view.php?id=410,19,Language / French Language Science,1405- conversation in French for beginners
,التعلم المستمر,العلوم اللغوية,اللغة الفرنسية,,اللغة الفرنسية للمبتدئين,,العلوم اللغوية,اللغة الفرنسية,1037- اللغة الفرنسية,https://www.aldarayn.com/course/view.php?id=62,19,Language / French Language Science,1037. French
,التعلم المستمر,العلوم اللغوية,اللغة الفرنسية,,اللغة الفرنسية للمبتدئين,,العلوم اللغوية,اللغة الفرنسية,1036- اللغة الفرنسية للمبتدئين,https://www.aldarayn.com/course/view.php?id=61,19,Language / French Language Science,1036. French for beginners
,التعلم المستمر,العلوم اللغوية,اللغة اليابانية,,اللغة اليابانية,,العلوم اللغوية,اللغة اليابانية,1043- اللغة اليابانية,https://www.aldarayn.com/course/view.php?id=64,20,Linguistic / Japanese Language Science,1043. Japanese Language
,التعلم المستمر,العلوم اللغوية,اللغة التركية,,اللغة التركية - المستوى الاول,,العلوم اللغوية,اللغة التركية,1042- اللغة التركية - المستوى الاول,https://www.aldarayn.com/course/view.php?id=63,21,Linguistic / Turkish Language Science,1042. Turkish language - first level
,التعلم المستمر,العلوم اللغوية,اللغة الإيطالية,,اللغة الايطالية - المستوى الثاني,,العلوم اللغوية,اللغة الإيطالية,1035- اللغة الايطالية - المستوى الثاني,https://www.aldarayn.com/course/view.php?id=60,23,Linguistic Science / Italian,1035. Italian language - second level
,التعلم المستمر,العلوم اللغوية,اللغة الإيطالية,,اللغة الايطالية - المستوى الاول,,العلوم اللغوية,اللغة الإيطالية,1034- اللغة الايطالية - المستوى الاول,https://www.aldarayn.com/course/view.php?id=59,23,Linguistic Science / Italian,1034. Italian language - first level
SKIP,التعلم المستمر,العلوم اللغوية,اللغة الإيطالية,,اللغة الإيطالية ,,العلوم اللغوية,اللغة الإيطالية,1033-  اللغة الإيطالية ,https://www.aldarayn.com/course/view.php?id=58,23,Linguistic Science / Italian,1033. Italian
SKIP,التعلم المستمر,العلوم اللغوية,اللغة الإيطالية,,اللغة الإيطالية للمبتدئين,,العلوم اللغوية,اللغة الإيطالية,1032- اللغة الإيطالية للمبتدئين,https://www.aldarayn.com/course/view.php?id=57,23,Linguistic Science / Italian,1032. Italian language for beginners
,التعلم المستمر,العلوم اللغوية,اللغة الإيطالية,,قواعد اللغة الإيطالية للمبتدئين,,العلوم اللغوية,اللغة الإيطالية,1031-  قواعد اللغة الإيطالية للمبتدئين,https://www.aldarayn.com/course/view.php?id=56,23,Linguistic Science / Italian,1031. The rules of the Italian language for beginners
SKIP,التعلم المستمر,العلوم اللغوية, اللغة الألمانية,,اللغة الألمانية للمبتدئين,,العلوم اللغوية, اللغة الألمانية,1041- اللغة الألمانية للمبتدئين,https://www.aldarayn.com/course/view.php?id=68,24,Language / German Science,1041. German for beginners
,التعلم المستمر,العلوم اللغوية, اللغة الألمانية,,اللغة الألمانية - المستوى الثاني,,العلوم اللغوية, اللغة الألمانية,1040- لغة المانية - مستوى ثانى,https://www.aldarayn.com/course/view.php?id=67,24,Language / German Science,1040. German language - second level
,التعلم المستمر,العلوم اللغوية, اللغة الألمانية,,اللغة الألمانية- المستوى الأول,,العلوم اللغوية, اللغة الألمانية,1039-  لغة ألمانية - مستوى اول,https://www.aldarayn.com/course/view.php?id=66,24,Language / German Science,1039. German - first level
SKIP,التعلم المستمر,العلوم اللغوية, اللغة الألمانية,,اللغة الألمانية,,العلوم اللغوية, اللغة الألمانية,1038-  اللغة الألمانية,https://www.aldarayn.com/course/view.php?id=65,24,Language / German Science,1038. German
SKIP,التعلم المستمر,العلوم اللغوية,اللغة الأسبانية,,اللغة الإسبانية- المستوى الأول,,العلوم اللغوية,اللغة الأسبانية,1045- أسباني مستوي 1 سلسلة رقم 2,https://www.aldarayn.com/course/view.php?id=70,25,Language / Spanish Language Science,1045. Spanish Level 1 Series No. 2
SKIP,التعلم المستمر,العلوم اللغوية,اللغة الأسبانية,,اللغة الإسبانية- المستوى الأول,,العلوم اللغوية,اللغة الأسبانية,1044- أسباني مستوى 1 سلسلة رقم 1,https://www.aldarayn.com/course/view.php?id=69,25,Language / Spanish Language Science,1044. Spanish Level 1 Series No. 1
,التعلم المستمر,العلوم اللغوية,اللغة الروسية,,اللغة الروسية- المستوى الأول,,العلوم اللغوية,اللغة الروسية,1046-  تمهيدى لغة روسية,https://www.aldarayn.com/course/view.php?id=71,26,Language / Russian Language Science,1046. Preliminary Russian Language
,التعلم المستمر,علوم الحاسب الآلي,,,MCSA ,,علوم الحاسب الآلي,,MCSA - 1576,https://www.aldarayn.com/course/view.php?id=661,3,computer science,MCSA - 1576
,التعلم المستمر,علوم الحاسب الآلي,,,Oracle APEX Developer,,علوم الحاسب الآلي,,1574- Oracle APEX Developer,https://www.aldarayn.com/course/view.php?id=640,3,computer science,1574- Oracle APEX Developer
,التعلم المستمر,علوم الحاسب الآلي,,,ندوة الخطوات الأولى لدخول مجال البرمجة,,علوم الحاسب الآلي,,1172-  ندوة الخطوات الأولى لدخول مجال البرمجة,https://www.aldarayn.com/course/view.php?id=507,3,computer science,1172- Seminar the first steps to enter the field of programming
,التعلم المستمر,علوم الحاسب الآلي,,,تحليل البيانات باستخدام برنامج SPSS,,علوم الحاسب الآلي,,1534 - تحليل البيانات باستخدام برنامج SPSS,https://www.aldarayn.com/course/view.php?id=609,3,computer science,1534 - data analysis using SPSS software
,التعلم المستمر,علوم الحاسب الآلي,,,صناعة أفلام الكرتون,,علوم الحاسب الآلي,,1416- صناعة أفلام الكارتون,https://www.aldarayn.com/course/view.php?id=430,3,computer science,1416- industry cartoons
,التعلم المستمر,علوم الحاسب الآلي,,,Oracle Apps Technical Consultant Course,,علوم الحاسب الآلي,,1052- Oracle Apps Technical Consultant Course,https://www.aldarayn.com/course/view.php?id=55,3,computer science,Oracle Apps Technical Consultant Course 1052-
,التعلم المستمر,علوم الحاسب الآلي,,,Oracle Application Developer,,علوم الحاسب الآلي,,1348- Oracle Application Developer,https://www.aldarayn.com/course/view.php?id=372,3,computer science,Oracle Application Developer 1348-
,التعلم المستمر,علوم الحاسب الآلي,,,Oracle ADF,,علوم الحاسب الآلي,,1413- Oracle ADF,https://www.aldarayn.com/course/view.php?id=369,3,computer science,Oracle ADF 1413-
,التعلم المستمر,علوم الحاسب الآلي,,,الهكر الأخلاقي CEH V7,,علوم الحاسب الآلي,,1419-  الهكر الأخلاقي CEH V7,https://www.aldarayn.com/course/view.php?id=431,3,computer science,1419 Ethical hacker CEH V7
,التعلم المستمر,علوم الحاسب الآلي,,,التجارة الالكترونية,,علوم الحاسب الآلي,,1394- التجارة الالكترونية,https://www.aldarayn.com/course/view.php?id=409,3,computer science,1394- E-Commerce
,التعلم المستمر,علوم الحاسب الآلي,,, العمل الحر عن طريق السوشيال ميديا,,علوم الحاسب الآلي,,1393- العمل الحر عن طريق السوشيال ميديا,https://www.aldarayn.com/course/view.php?id=408,3,computer science,1393- self-employment through Alsocheal Media
,التعلم المستمر,علوم الحاسب الآلي,,,تعلم من غيرك وعلم غيرك,,علوم الحاسب الآلي,,1377- تعلم من غيرك وعلم غيرك,https://www.aldarayn.com/course/view.php?id=407,3,computer science,1377- learn from others and aware of others
,التعلم المستمر,علوم الحاسب الآلي,,, المصمم المحترف في مجال التصميم التجاري,,علوم الحاسب الآلي,,1356- المصمم المحترف في مجال التصميم التجاري,https://www.aldarayn.com/course/view.php?id=406,3,computer science,1356- professional designer in the field of commercial design
,التعلم المستمر,علوم الحاسب الآلي,,, صناعة الأفلام,,علوم الحاسب الآلي,,1355 - صناعة الأفلام,https://www.aldarayn.com/course/view.php?id=405,3,computer science,1355 - Film Making
,التعلم المستمر,علوم الحاسب الآلي,,,Oracle Financial E-Business R12,,علوم الحاسب الآلي,,1352- Oracle Financial E-Business R12,https://www.aldarayn.com/course/view.php?id=404,3,computer science,Oracle Financial E-1352- Business R12
,التعلم المستمر,علوم الحاسب الآلي,,,Introduction to Computer Science and Programming,,علوم الحاسب الآلي,,1351- Introduction to Computer Science and Programming,https://www.aldarayn.com/course/view.php?id=403,3,computer science,1351- Introduction to Computer Science and Programming
SKIP,التعلم المستمر,علوم الحاسب الآلي,,,التسويق الإلكتروني,,علوم الحاسب الآلي,,1350 - التسويق الإلكتروني,https://www.aldarayn.com/course/view.php?id=402,3,computer science,1350 - E-Marketing
,التعلم المستمر,علوم الحاسب الآلي,,,PHP Advanced,,علوم الحاسب الآلي,,1349 - PHP Advanced,https://www.aldarayn.com/course/view.php?id=401,3,computer science,1349 - PHP Advanced
,التعلم المستمر,علوم الحاسب الآلي,,,Freelancer,,علوم الحاسب الآلي,,1305- Freelancer,https://www.aldarayn.com/course/view.php?id=331,3,computer science,1305- Freelancer
,التعلم المستمر,علوم الحاسب الآلي,,,E-Learning Objects,,علوم الحاسب الآلي,,1303- E-Learning Objects,https://www.aldarayn.com/course/view.php?id=330,3,computer science,1303- E-Learning Objects
,التعلم المستمر,علوم الحاسب الآلي,,,الأحلام الجرافيكية السبعة,,علوم الحاسب الآلي,,1299- الاحلام الجرافيكية السبعة,https://www.aldarayn.com/course/view.php?id=329,3,computer science,1299- Seven Dreams graphic
,التعلم المستمر,علوم الحاسب الآلي,,,تطبيق الفصول الافتراضية,,علوم الحاسب الآلي,,1295- تطبيق الفصول الافتراضية,https://www.aldarayn.com/course/view.php?id=328,3,computer science,1295- Application Virtual Classroom
,التعلم المستمر,علوم الحاسب الآلي,,,Camtasia Studio,,علوم الحاسب الآلي,,1294- Camtasia Studio,https://www.aldarayn.com/course/view.php?id=327,3,computer science,1294- Camtasia Studio
,التعلم المستمر,علوم الحاسب الآلي,,,Infographics,,علوم الحاسب الآلي,,1292- Infographics,https://www.aldarayn.com/course/view.php?id=326,3,computer science,1292- Infographics
,التعلم المستمر,علوم الحاسب الآلي,,,احتراف إنشاء المواقع,,علوم الحاسب الآلي,,1133- احتراف انشاء المواقع,https://www.aldarayn.com/course/view.php?id=281,3,computer science,1133- professional Websites
,التعلم المستمر,علوم الحاسب الآلي,,,Start Windows,,علوم الحاسب الآلي,,1132- start windows,https://www.aldarayn.com/course/view.php?id=280,3,computer science,1132- start windows
