URL,title,breadcrumb1,breadcrumb2,breadcrumb3,breadcrumb4,PDFname1,PDFname2,PDFname3,PDFname4
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%A7%D9%84%D9%83%D9%8A%D9%85%D9%8A%D8%A7%D8%A1-%D8%A7%D9%84%D8%B9%D8%B6%D9%88%D9%8A%D8%A9-2019,الكيمياء العضوية 2019,الصف الثاني ثانوي,,,,12.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%B9%D9%84%D9%85-%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A1-%D8%A7%D8%B3%D8%AA%D8%B9%D9%85%D8%A7%D9%84,علم كهرباء استعمال,الصف الثاني ثانوي,,,,دوسية كهرباء استعمال 2.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%B3%D8%A7%D8%A8%D8%B9/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D9%85%D9%84%D8%AE%D8%B5-%D9%82%D9%88%D8%A7%D8%B9%D8%AF-%D9%83%D8%AA%D8%A7%D8%A8-%D8%A7%D9%84%D9%84%D8%BA%D8%A9-%D8%A7%D9%84%D8%A7%D9%86%D8%AC%D9%84%D9%8A%D8%B2%D9%8A%D8%A9-%D9%84%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%B3%D8%A7%D8%A8%D8%B9-%D9%83%D8%AA%D8%A7%D8%A8-max,ملخص قواعد كتاب اللغة الانجليزية للصف السابع كتاب TO The Max,الصف السابع,,,,ملخص قواعد كتاب اللغة الانجليزية للصف السابع كتاب TO The Max,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%B9%D9%84%D9%88%D9%85-%D8%A5%D8%B3%D9%84%D8%A7%D9%85%D9%8A%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF-%D9%A2%D9%A0%D9%A1%D9%A9-%D9%85%D9%A3%D9%A4,علوم إسلامية جديد ٢٠١٩ م٣+٤,الصف الثاني ثانوي,,,,الجود 2019 0.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%B9%D9%84%D9%88%D9%85-%D8%A5%D8%B3%D9%84%D8%A7%D9%85%D9%8A%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF,علوم إسلامية جديد,الصف الثاني ثانوي,,,,الجود 2019.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D9%85%D9%83%D8%AB%D9%81-%D9%86%D9%82%D8%AF-%D8%A7%D9%84%D9%81%D8%B5%D9%84-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-2001-%D9%854-%D8%AC%D8%AF%D9%8A%D8%AF-%D8%B9%D8%B1%D8%A8%D9%8A-%D8%AA%D8%AE%D8%B5%D8%B5,مكثف نقد الفصل الثاني 2001 م4 جديد عربي تخصص,الصف الثاني ثانوي,,,,مكثف نقد الفصل الثاني 2001 م4 جديد عربي تخصص,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%A7%D9%84%D9%83%D9%8A%D9%85%D9%8A%D8%A7%D8%A1-%D8%A7%D9%84%D8%B9%D8%B6%D9%88%D9%8A%D8%A9,الكيمياء العضوية,الصف الاول ثانوي,,,,مقدمة في الكيمياء العضوية.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%AF%D9%88%D8%B3%D9%8A%D8%A9-%D8%A8%D8%AD%D8%B1-%D8%A7%D9%84%D8%AF%D8%B1-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%88%D9%89-%D8%A7%D9%84%D8%AB%D8%A7%D9%84%D8%AB,دوسية بحر الدر المستوى الثالث,الصف الثاني ثانوي,,,,Grammar level 3.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%AF%D9%88%D9%8A%D8%B3%D8%A9-%D8%A8%D8%AD%D8%B1-%D8%A7%D9%84%D8%AF%D8%B1-%D9%85%D8%B3%D8%AA%D9%88%D9%89-%D8%B1%D8%A7%D8%A8%D8%B9,دويسة بحر الدر مستوى رابع,الصف الثاني ثانوي,,,,L4 modified.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%A7%D9%84%D8%B2%D8%AE%D9%85-%D8%A7%D9%84%D8%AE%D8%B7%D9%8A-%D9%88-%D8%A7%D9%84%D8%AA%D8%B5%D8%A7%D8%AF%D9%85%D8%A7%D8%AA,الزخم الخطي و التصادمات,الصف الاول ثانوي,,,,الزخم الخطي و التصادمات,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AA%D8%A7%D8%B3%D8%B9/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D9%85%D8%B1%D8%B6-%D8%A7%D9%84%D9%83%D9%88%D9%84%D9%8A%D8%B1%D8%A7,مرض الكوليرا,الصف التاسع,,,,admicrob6.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D9%83%D9%88%D8%B1%D8%B3-%D8%A7%D9%84%D9%85%D8%B9%D8%AC%D9%85-%D9%81%D9%8A-%D8%A7%D9%84%D9%84%D8%BA%D8%A9-%D8%A7%D9%84%D8%A3%D9%86%D8%AC%D9%84%D9%8A%D8%B2%D9%8A%D8%A9-%D8%A7%D9%84%D9%81%D8%B5%D9%84-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A,كورس المعجم في اللغة الأنجليزية الفصل الثاني,الصف الثاني ثانوي,,,,شرح مفضل لكتاب الطالب وكتاب الانشطه,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%AF%D9%88%D8%B3%D9%8A%D8%A9-%D8%AA%D9%83%D8%A7%D9%85%D9%84-%D8%A7%D8%AF%D8%A8%D9%8A-%D9%A2%D9%A0%D9%A1%D9%A9-%D8%AC%D8%B2%D8%A1-%D9%A2,دوسية تكامل ادبي ٢٠١٩ جزء ٢,الصف الثاني ثانوي,,,,التكامل ادبي2-1.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%B9%D9%84%D9%88%D9%85-%D8%A5%D8%B3%D9%84%D8%A7%D9%85%D9%8A%D8%A9-%D9%85%D9%A3-%D9%82%D8%AF%D9%8A%D9%85-%D8%AC%D9%8A%D9%84%D9%A9%D9%A9,علوم إسلامية م٣ قديم جيل٩٩,الصف الثاني ثانوي,,,,مختصر علوم إسلامية م 3 --عمر جبر.pdf,,,
