URL,title,breadcrumb1,breadcrumb2,breadcrumb3,breadcrumb4,PDFname1,PDFname2,PDFname3,PDFname4
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%A7%D9%84%D9%81%D8%B1%D8%B9-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A/%D8%A7%D9%84%D9%83%D9%8A%D9%85%D9%8A%D8%A7%D8%A1/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%A7%D9%84%D9%83%D9%8A%D9%85%D9%8A%D8%A7%D8%A1-%D8%A7%D9%84%D8%B9%D8%B6%D9%88%D9%8A%D8%A9-2019-0,الكيمياء العضوية 2019,الصف الثاني ثانوي,الفرع العلمي,الكيمياء,,12.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%A7%D9%84%D9%81%D8%B1%D8%B9-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A/%D8%A7%D9%84%D9%83%D9%8A%D9%85%D9%8A%D8%A7%D8%A1/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%A7%D9%84%D9%83%D9%8A%D9%85%D9%8A%D8%A7%D8%A1-%D8%A7%D9%84%D8%B9%D8%B6%D9%88%D9%8A%D8%A9-2019,الكيمياء العضوية 2019,الصف الثاني ثانوي,الفرع العلمي,الكيمياء,,12.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%A7%D9%84%D9%81%D8%B1%D8%B9-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A/%D8%A7%D9%84%D9%81%D9%8A%D8%B2%D9%8A%D8%A7%D8%A1/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%A7%D9%84%D8%B3%D9%86%D9%88%D8%A7%D8%AA-%D8%A7%D9%84%D8%B3%D9%80-%D8%AC%D9%8A%D9%84-2001-%D9%80%D8%A7%D8%A8%D9%82%D8%A9-%D8%A7%D9%84%D9%81%D9%8A%D8%B2%D9%8A%D8%A7%D8%A1-%D8%A7%D9%84%D9%86%D9%88%D9%88%D9%8A%D8%A9,"السنوات السـ جيل 2001 ـابقة "" الفيزياء النووية """,الصف الثاني ثانوي,الفرع العلمي,الفيزياء,,النووية سنوات 2001.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%A7%D9%84%D9%81%D8%B1%D8%B9-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A/%D8%A7%D9%84%D9%81%D9%8A%D8%B2%D9%8A%D8%A7%D8%A1/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%A7%D9%84%D8%B3%D9%86%D9%88%D8%A7%D8%AA-%D8%A7%D9%84%D8%B3%D9%80-%D8%AC%D9%8A%D9%84-2001-%D9%80%D8%A7%D8%A8%D9%82%D8%A9-%D9%81%D9%8A%D8%B2%D9%8A%D8%A7%D8%A1-%D8%A7%D9%84%D9%83%D9%85,"السنوات السـ جيل 2001 ـابقة "" فيزياء الكم """,الصف الثاني ثانوي,الفرع العلمي,الفيزياء,,الكم سنوات 2001.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%A7%D9%84%D9%81%D8%B1%D8%B9-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A/%D8%A7%D9%84%D9%81%D9%8A%D8%B2%D9%8A%D8%A7%D8%A1/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%A7%D9%84%D9%88%D8%AD%D8%AF%D8%A9-%D8%A7%D9%84%D8%AB%D8%A7%D9%84%D8%AB%D8%A9-%D8%A7%D9%84%D9%81%D9%8A%D8%B2%D9%8A%D8%A7%D8%A1-%D8%A7%D9%84%D8%AD%D8%AF%D9%8A%D8%AB%D8%A9,الوحدة الثالثة / الفيزياء الحديثة,الصف الثاني ثانوي,الفرع العلمي,الفيزياء,,الوحدة الثالثة / الفيزياء الحديثة,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%A7%D9%84%D9%81%D8%B1%D8%B9-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A/%D8%A7%D9%84%D9%83%D9%8A%D9%85%D9%8A%D8%A7%D8%A1/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%A7%D9%84%D8%AD%D9%85%D9%88%D8%B6-%D9%88%D8%A7%D9%84%D9%82%D9%88%D8%A7%D8%B9%D8%AF-%D8%A7%D9%84%D9%81%D8%B5%D9%84-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A,الحموض والقواعد (الفصل الثاني),الصف الثاني ثانوي,الفرع العلمي,الكيمياء,,حموض وقواعد (فصل ثاني).pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%A7%D9%84%D9%81%D8%B1%D8%B9-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A/%D8%A7%D9%84%D9%83%D9%8A%D9%85%D9%8A%D8%A7%D8%A1/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%AF%D9%88%D8%B3%D9%8A%D8%A9-%D8%A7%D9%84%D8%AD%D9%85%D9%88%D8%B6-%D9%88%D8%A7%D9%84%D9%82%D9%88%D8%A7%D8%B9%D8%AF-%D8%A7%D9%84%D9%81%D8%B5%D9%84-%D8%A7%D9%84%D8%A7%D9%88%D9%84,دوسية الحموض والقواعد (الفصل الاول),الصف الثاني ثانوي,الفرع العلمي,الكيمياء,,الحموض والقواعد (الفصل الاول).pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%A7%D9%84%D9%81%D8%B1%D8%B9-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A/%D8%A7%D9%84%D9%83%D9%8A%D9%85%D9%8A%D8%A7%D8%A1/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%AF%D9%88%D8%B3%D9%8A%D8%A9-%D8%A7%D9%84%D8%AD%D9%85%D9%88%D8%B6-%D9%88%D8%A7%D9%84%D9%82%D9%88%D8%A7%D8%B9%D8%AF-%D8%A7%D9%84%D9%81%D8%B5%D9%84-%D8%A7%D9%84%D8%A7%D9%88%D9%84-0,دوسية الحموض والقواعد (الفصل الاول),الصف الثاني ثانوي,الفرع العلمي,الكيمياء,,الحموض والقواعد (الفصل الاول).pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%A7%D9%84%D9%81%D8%B1%D8%B9-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A/%D8%A7%D9%84%D9%83%D9%8A%D9%85%D9%8A%D8%A7%D8%A1/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%AF%D9%88%D8%B3%D9%8A%D8%A9-%D8%B3%D8%B1%D8%B9%D8%A9-%D8%A7%D9%84%D8%AA%D9%81%D8%A7%D8%B9%D9%84-%D8%A7%D9%84%D9%83%D9%8A%D9%85%D9%8A%D8%A7%D8%A6%D9%8A-%D8%AC%D9%8A%D9%84-2001,"دوسية سرعة التفاعل الكيميائي ,,,,جيل 2001",الصف الثاني ثانوي,الفرع العلمي,الكيمياء,,دوسية سرعة التفاعل الكيميائي.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%A7%D9%84%D9%81%D8%B1%D8%B9-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A/%D8%A7%D9%84%D9%83%D9%8A%D9%85%D9%8A%D8%A7%D8%A1/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%A7%D9%84%D8%AA%D8%A7%D9%83%D8%B3%D8%AF-%D9%88%D8%A7%D9%84%D8%A7%D8%AE%D8%AA%D8%B2%D8%A7%D9%84,التاكسد والاختزال,الصف الثاني ثانوي,الفرع العلمي,الكيمياء,,التاكسد والاختزال.pdf,,,
