URL,top,middle,lower,url
https://www.nashmi.net/ar/lesson-series/%D9%81%D9%8A%D8%B2%D9%8A%D8%A7%D8%A1-%D8%A7%D9%85%D8%AC%D8%AF-%D8%A7%D9%84%D8%A7%D8%AD%D9%85%D8%AF,فيزياء,فيزياء امجد الاحمد,أساسيات (1),https://www.nashmi.net/ar/content/%D8%A3%D8%B3%D8%A7%D8%B3%D9%8A%D8%A7%D8%AA-1
https://www.nashmi.net/ar/lesson-series/%D9%81%D9%8A%D8%B2%D9%8A%D8%A7%D8%A1-%D8%A7%D9%85%D8%AC%D8%AF-%D8%A7%D9%84%D8%A7%D8%AD%D9%85%D8%AF,فيزياء,فيزياء امجد الاحمد,قانون كولوم (2),https://www.nashmi.net/ar/content/%D9%82%D8%A7%D9%86%D9%88%D9%86-%D9%83%D9%88%D9%84%D9%88%D9%85-2
https://www.nashmi.net/ar/lesson-series/%D9%81%D9%8A%D8%B2%D9%8A%D8%A7%D8%A1-%D8%A7%D9%85%D8%AC%D8%AF-%D8%A7%D9%84%D8%A7%D8%AD%D9%85%D8%AF,فيزياء,فيزياء امجد الاحمد,المحصلة وحل اسئلة عليها (3),https://www.nashmi.net/ar/content/%D8%A7%D9%84%D9%85%D8%AD%D8%B5%D9%84%D8%A9-%D9%88%D8%AD%D9%84-%D8%A7%D8%B3%D8%A6%D9%84%D8%A9-%D8%B9%D9%84%D9%8A%D9%87%D8%A7-3
https://www.nashmi.net/ar/lesson-series/%D9%81%D9%8A%D8%B2%D9%8A%D8%A7%D8%A1-%D8%A7%D9%85%D8%AC%D8%AF-%D8%A7%D9%84%D8%A7%D8%AD%D9%85%D8%AF,فيزياء,فيزياء امجد الاحمد,مبدأ تكمية الشحنة (4),https://www.nashmi.net/ar/content/%D9%85%D8%A8%D8%AF%D8%A3-%D8%AA%D9%83%D9%85%D9%8A%D8%A9-%D8%A7%D9%84%D8%B4%D8%AD%D9%86%D8%A9-4
https://www.nashmi.net/ar/lesson-series/%D9%81%D9%8A%D8%B2%D9%8A%D8%A7%D8%A1-%D8%A7%D9%85%D8%AC%D8%AF-%D8%A7%D9%84%D8%A7%D8%AD%D9%85%D8%AF,فيزياء,فيزياء امجد الاحمد,المجال الكهربائي غير المنتظم (5),https://www.nashmi.net/ar/content/%D8%A7%D9%84%D9%85%D8%AC%D8%A7%D9%84-%D8%A7%D9%84%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A6%D9%8A-%D8%BA%D9%8A%D8%B1-%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%B8%D9%85-5
https://www.nashmi.net/ar/lesson-series/%D9%81%D9%8A%D8%B2%D9%8A%D8%A7%D8%A1-%D8%A7%D9%85%D8%AC%D8%AF-%D8%A7%D9%84%D8%A7%D8%AD%D9%85%D8%AF,فيزياء,فيزياء امجد الاحمد,المجال الكهربائي المنتظم وتسارع جسيم (6),https://www.nashmi.net/ar/content/%D8%A7%D9%84%D9%85%D8%AC%D8%A7%D9%84-%D8%A7%D9%84%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A6%D9%8A-%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%B8%D9%85-%D9%88%D8%AA%D8%B3%D8%A7%D8%B1%D8%B9-%D8%AC%D8%B3%D9%8A%D9%85-6
https://www.nashmi.net/ar/lesson-series/%D9%81%D9%8A%D8%B2%D9%8A%D8%A7%D8%A1-%D8%A7%D9%85%D8%AC%D8%AF-%D8%A7%D9%84%D8%A7%D8%AD%D9%85%D8%AF,فيزياء,فيزياء امجد الاحمد,الجهد الناتج عن شحنات نقطية (7),https://www.nashmi.net/ar/content/%D8%A7%D9%84%D8%AC%D9%87%D8%AF-%D8%A7%D9%84%D9%86%D8%A7%D8%AA%D8%AC-%D8%B9%D9%86-%D8%B4%D8%AD%D9%86%D8%A7%D8%AA-%D9%86%D9%82%D8%B7%D9%8A%D8%A9-7
https://www.nashmi.net/ar/lesson-series/%D9%81%D9%8A%D8%B2%D9%8A%D8%A7%D8%A1-%D8%A7%D9%85%D8%AC%D8%AF-%D8%A7%D9%84%D8%A7%D8%AD%D9%85%D8%AF,فيزياء,فيزياء امجد الاحمد,فرق الجهد والتغير في طاقة الوضع (8),https://www.nashmi.net/ar/content/%D9%81%D8%B1%D9%82-%D8%A7%D9%84%D8%AC%D9%87%D8%AF-%D9%88%D8%A7%D9%84%D8%AA%D8%BA%D9%8A%D8%B1-%D9%81%D9%8A-%D8%B7%D8%A7%D9%82%D8%A9-%D8%A7%D9%84%D9%88%D8%B6%D8%B9-8
https://www.nashmi.net/ar/lesson-series/%D9%81%D9%8A%D8%B2%D9%8A%D8%A7%D8%A1-%D8%A7%D9%85%D8%AC%D8%AF-%D8%A7%D9%84%D8%A7%D8%AD%D9%85%D8%AF,فيزياء,فيزياء امجد الاحمد,علاقة الشغل بالتغير في طاقة الوضع / فرق الجهد بين نقطتين في مجال منتظم (9),https://www.nashmi.net/ar/content/%D8%B9%D9%84%D8%A7%D9%82%D8%A9-%D8%A7%D9%84%D8%B4%D8%BA%D9%84-%D8%A8%D8%A7%D9%84%D8%AA%D8%BA%D9%8A%D8%B1-%D9%81%D9%8A-%D8%B7%D8%A7%D9%82%D8%A9-%D8%A7%D9%84%D9%88%D8%B6%D8%B9-%D9%81%D8%B1%D9%82-%D8%A7%D9%84%D8%AC%D9%87%D8%AF-%D8%A8%D9%8A%D9%86-%D9%86%D9%82%D8%B7%D8%AA%D9%8A%D9%86-%D9%81%D9%8A-%D9%85%D8%AC%D8%A7%D9%84-%D9%85%D9%86%D8%AA%D8%B8%D9%85-9
https://www.nashmi.net/ar/lesson-series/%D9%81%D9%8A%D8%B2%D9%8A%D8%A7%D8%A1-%D8%A7%D9%85%D8%AC%D8%AF-%D8%A7%D9%84%D8%A7%D8%AD%D9%85%D8%AF,فيزياء,فيزياء امجد الاحمد,المواسع الكهربائي (10),https://www.nashmi.net/ar/content/%D8%A7%D9%84%D9%85%D9%88%D8%A7%D8%B3%D8%B9-%D8%A7%D9%84%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A6%D9%8A-10
